iter	Passed	Remaining
0	145	145009
1	146	73207
2	148	49269
3	149	37299
4	151	30112
5	152	25296
6	154	21883
7	155	19333
8	157	17336
9	158	15722
10	160	14438
11	162	13355
12	163	12420
13	165	11630
14	166	10943
15	168	10341
16	169	9819
17	171	9351
18	172	8922
19	174	8542
20	175	8196
21	177	7884
22	178	7592
23	180	7327
24	182	7102
25	183	6887
26	185	6681
27	186	6485
28	188	6309
29	189	6143
30	191	5986
31	193	5843
32	194	5701
33	196	5576
34	197	5457
35	199	5343
36	201	5238
37	202	5136
38	204	5035
39	205	4939
40	207	4851
41	209	4781
42	211	4701
43	212	4623
44	214	4545
45	216	4479
46	217	4411
47	219	4347
48	220	4281
49	222	4221
50	223	4161
51	225	4102
52	226	4044
53	227	3993
54	229	3943
55	231	3896
56	232	3847
57	233	3797
58	235	3758
59	237	3719
60	238	3674
61	240	3632
62	241	3592
63	243	3556
64	244	3519
65	246	3482
66	247	3445
67	248	3403
68	249	3369
69	251	3337
70	252	3306
71	254	3274
72	255	3245
73	256	3214
74	258	3188
75	259	3160
76	261	3131
77	262	3103
78	263	3077
79	265	3051
80	266	3025
81	268	3000
82	269	2979
83	271	2958
84	272	2932
85	274	2914
86	275	2891
87	277	2873
88	278	2854
89	280	2838
90	282	2820
91	283	2801
92	285	2783
93	286	2765
94	288	2744
95	290	2731
96	291	2715
97	293	2701
98	295	2690
99	298	2684
100	300	2673
101	301	2654
102	303	2644
103	305	2634
104	307	2624
105	310	2621
106	313	2613
107	316	2613
108	319	2612
109	322	2612
110	324	2602
111	327	2599
112	330	2596
113	332	2585
114	334	2574
115	336	2567
116	338	2553
117	340	2542
118	341	2527
119	342	2514
120	344	2502
121	345	2490
122	346	2472
123	348	2462
124	350	2450
125	351	2437
126	352	2425
127	353	2411
128	356	2404
129	358	2402
130	361	2395
131	363	2387
132	364	2376
133	366	2367
134	368	2359
135	370	2356
136	372	2346
137	373	2334
138	375	2324
139	376	2315
140	379	2311
141	381	2303
142	382	2294
143	384	2285
144	386	2277
145	387	2269
146	389	2258
147	390	2249
148	392	2241
149	394	2236
150	397	2233
151	399	2227
152	401	2220
153	402	2213
154	404	2207
155	408	2208
156	410	2201
157	412	2195
158	413	2188
159	415	2183
160	417	2175
161	418	2167
162	421	2164
163	423	2159
164	425	2151
165	427	2145
